Domain,MBFC,MBFC factual,BF,FC,PF,WI,factual,rating
econewsmedia.org,CP,mixed,,,,,mixed,conspiracy-pseudoscience
embols.com,FN,low,,,,,low,fake-news
en.hawarnews.com,FN,low,,,,,low,fake-news
en.radiovaticana.va,FN,mixed,,,,,mixed,fake-news
en.search.farsnews.com,FN,mixed,,,,,mixed,fake-news
endingthefed.com,FN,low,,,,,low,fake-news
enhlive.com,FN,low,,,fake-news,,low,fake-news
enlightened-planet.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
everydaybreakingnews.com,,,1.0,,,,unknown,BF1
everynewshere.com,CP,low,,,,,low,conspiracy-pseudoscience
ewao.com,CP,low,,,,,low,conspiracy-pseudoscience
exposinggovernment.com,FN,low,,,,,low,fake-news
factrider.com,,,,,some-fake,,unknown,some-fake
fashthenation.com,FN,very-low,,,,,very-low,fake-news
federalistnation.com,FN,low,,1.0,,,low,fake-news
federalisttribune.com,FN,low,,1.0,fake-news,,low,fake-news
fedsalert.com,S,(satire),1.0,,fake-news,,satire,satire
fergieinfo.com,,,1.0,,,,unknown,BF1
ff911truthandunity.org,CP,mixed,,,,,mixed,conspiracy-pseudoscience
fibrohealthnews.com,FN,very-low,,,,,very-low,fake-news
flashnewscorner.com,FN,very-low,,1.0,fake-news,,very-low,fake-news
florida-times.co,,,1.0,,,,unknown,BF1
floridasunpost.com,FN,very-low,1.0,,parody,,very-low,fake-news
focusnews.info,,,,,fake-news,,unknown,fake-news
folksvideo.com,,,1.0,,,,unknown,BF1
fox-news24.com,,,,,imposter,1.0,unknown,imposter
france24-tv.com,FN,very-low,,,,,very-low,fake-news
freakoutnation.com,FN,low,,,,,low,fake-news
freddymag.com,,,1.0,,,,unknown,BF1
freedomcrossroads.us,,,,1.0,parody,,unknown,parody
freedomlibertynews.com,FN,low,,,,,low,fake-news
freedomsfinalstand.com,FN,low,,,fake-news,,low,fake-news
freeinquirer.com,,,1.0,,,,unknown,BF1
freepatriotpost.com,FN,low,,,,,low,fake-news
freespeechtime.net,FN,low,,,,,low,fake-news
freshdailyreport.com,,,,,fake-news,,unknown,fake-news
fwdnow.com,FN,mixed,,,,,mixed,fake-news
geologyin.com,FN,mixed,,,,,mixed,fake-news
getcancerremedies.com,CP,low,,,,,low,conspiracy-pseudoscience
girlsjustwannahaveguns.com,FN,low,,,,,low,fake-news
givemeliberty01.com,,,,,fake-news,,unknown,fake-news
globalassociatednews.com,,,1.0,,,1.0,unknown,BF1
globalpoliticsnow.com,FN,low,,,fake-news,,low,fake-news
globalrevolutionnetwork.com,,,,,fake-news,,unknown,fake-news
